id,text,rating
1,"Karl Jansky invented the field of radio astronomy OTD in 1932. 

During a solar eclipse he saw no change in the faint radio hiss he'd been monitoring, ruling out the sun as a source. He soon attributed this ""star noise"" to large ionized gas clouds near the center of the Milky Way. 🧪 🔭",
2,"STARRY EYES (2014)
Dir. Kevin Kolsch, Dennis Widmyer
United States
Horror, Drama, Fantasy

A hopeful young starlet uncovers the ominous origins of the Hollywood elite and enters into a deadly agreement in exchange for fame and fortune.",
3,"Warm, soothing, head-clearing bath temperature take: There shouldn't be a wholly new ""AI"" regulatory agency, but rather a singular coordinating hub in and out of which the relevant EXTANT regulatory codes and bodies may operate and be deployed.",
4,"The most horrifying thing about WVU is how hard faculty, staff, and students fought to save the integrity of their university, and how little it mattered to the board of governors. We are powerless to save higher education.",
5,"Happy Friday, Bluesky! Please enjoy a Blue Jay fledgling looking around at the world curiously.

Anyone else got some bird cuteness to share?! 🦉",
6,"#WVU should absolutely be read as a blueprint for austerity. Thanks to Zane McNeill at Truthout for including my perspective here.

truthout.org/articles/wil...",
7,"Reason 12,543,539 why you need a cat (or 8). The frequency of cat purring is between 25 & 140 Hz—the same frequency has been shown to aid in the healing of broken bones. 👨‍⚕️👩‍⚕️",
8,"Really good discussion on Odd Lots of our work on credit crunches and the inflation of the 1970s. Here are two key charts from our slide deck

pages.stern.nyu.edu/~asavov/alex...",
9,"Large heat pumps are ideal to power district heating and many countries in Europe have started to deploy them.

They use ambient and waste heat instead of burning stuff.

Source Euroheat & Power.",
10,"Holy moly. The Allowissadula holosericea flowered literally overnight in the natural area where I live. I went out this evening to do a quick trash pick-up before nightfall and these guys gifted me with a BEAUTIFUL bloom! 🌿 

My other favorite color is yellow. Purple + yellow = my color scheme! 😌",
11,"Anyone up for a nerdy thread on the Inflation Reduction Act, tax equity markets and international bank capital requirements? Because like Dylan, I'm about to spit hot fire. Thread:",
12,"One of my absolute favorites! Cannot recommend enough! Gorgeous gorgeous book! 

And I got Sheree L. Greer to sign it for me in Denver!",
13,"God, Low were incredible. Fuck. All the times they probably performed in Milwaukee and I wasn't in to them yet",
14,"New unofficial discovery posted by Ohio State University:
JWST data reveals how dust, gas assemble to form galactic disks.
jwstfeed.com/Discovery?ci...
🔭 🧪",
15,"Scenes from the first half of Super Bowl LVIII. The San Francisco 49ers are up 10-3 against the Kansas City Chiefs at halftime.

Follow our live updates of the game and halftime show: wapo.st/3uttQW2

(Photo credits: Ethan Miller, Michael Reaves, Ezra Shaw/ Getty Images)",
16,"It's COVER REVEAL time!

Desperate Measures, book 3 (and the finale) of the Weight of the World series, launches 29th September 2023!

Ebook pre-orders are now live on Amazon (link 👇).

Isn't it beautiful? 😍 I'm super stoked for you to see how this wraps up!",
17,"I know who I want to take me home
I know who I want to take me home
I know who I want to take me home
It's an Uber",
18,"If you want a preview of the album the single is already released on Amazon as part of Amazon prime and on Apple music as part of the Apple subscription. You can find them at these links if you want to experience the song.

music.apple.com/us/album/fly...

amazon.com/music/player...",
19,"What is the best travel experience you’ve ever had? 
For me it was drifting up the Nile stopping at various temples & sites en route.The Ancient Egyptians were ruling from 2,300BC and until Alexander conquered in 323 BC. They understood medicine, astronomy, architecture, writing, & embalming.",
20,"Up and out early. Lots to do but you’re here so it’s gonna be great. 
We got this. Love you puppies.
Always. Full speed. ❤️💙🐾",
21,My first post should be a picture of my cat Koosje. Why? I don’t think this needs an explanation. Just look at her:,
22,"This #MuscleMommyMonday, I’m really wanting to show off because this pump was no joke, and allll the suffering for it was absolutely worth it~ ❤️😌🖤🧡",
23,"Truly stupid technology out here destroying everything in it's path to make shitty generated images/text, but I can't have one (1) useful tool to tell me I forgot to draw AL's collar in one panel in the last update, huh. I see how it is",
24,"baby bird time! here's a pair of Barred Owl beebs poking out of the nest cavity, a day before fledging and leaving the nest for good. 

🦉",
25,"Another stunning image of ☄️ comet 12P/Pons-Brooks, taken on February 10, by Michael Jäger, Autria. FOV 3° x 2°. The comet is now at about 7.5 mag moves continuously closer to the sun. forum.vdsastro.de/viewtopic.ph...
The quite accurate Wikipedia page about 12P:
en.wikipedia.org/wiki/12P/Pon...
🔭",
26,"Here’s the very fast-growing pittosporum undulata. It pops up from fruit dropped by (transferred through) birds and it’s suddenly there, a whole tree. Once a year, its fragrance is astonishing at night. The rest of the time, it’s dull but provides deep shade. 🌱",
27,"📣 BREAKING: Record number of fossil fuel lobbyists at #COP28, clocked at over 2400 !!
New analysis from #KickBigPollutersOut coalition.

Big Polluter interference costing millions of people their homes, livelihoods, and lives. #PollutersOut NOW!

kickbigpollutersout.org/articles/rel...",
28,"I regret to inform you that Joe Biden, by launching strikes on a foreign militant group, has now rendered himself uniquely unelectable among American presidents",
29,"Nasturtiums are a must for any garden. Beautiful, unusual, and fully edible. The bees also go nuts for them.

Not sold? They also love poor soil and will help fix it, great companion plants to deter pests, and perfect cut flowers.

🌺 nasturtiums 🌸 flowers 🧑🏼‍🌾 gardening 🌱 plants 🥗 harvest 💦 irrigation",
